,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
504,505,Mata Norte,Professor Associado,Em Exercício,Validada,227.4,76.12,70.39,2.81,78.08
505,506,FCAP,Professor Assistente,Em Exercício,Rejeitada,0.0,14.94,6.62,0.53,0.0
506,507,ESEF,Professor Associado,Em Exercício,Validada,212.15,70.34,86.11,16.46,39.24
507,508,FCM,Professor Adjunto,Em Exercício,Validada,33.44,21.51,10.84,1.09,0.0
508,509,ICB,Professor Associado,Em Exercício,Validada,159.33,59.17,47.19,0.0,52.97
509,510,FOP,Professor Adjunto,Em Exercício,Validada,263.94,156.79,56.7,7.14,43.31
510,511,POLI,Professor Adjunto,Em Exercício,Validada,200.26,79.99,62.33,22.77,35.17
511,512,POLI,Professor Adjunto,Em Exercício,Validada,123.62,66.47,44.63,0.0,12.52
512,513,ESEF,Professor Associado,Em Exercício,Validada,288.72,41.51,105.19,6.68,135.34
513,514,POLI,Professor Adjunto,Em Exercício,Validada,37.16,33.66,2.43,0.0,1.07
515,516,FCM,Professor Assistente,Em Exercício,Validada,65.44,60.27,1.06,1.06,3.05
516,517,FCAP,Professor Auxiliar,Em Exercício,Validada,46.41,26.11,7.51,0.0,12.79
517,518,Mata Norte,Professor Associado,Em Exercício,Validada,260.3,105.58,129.89,4.93,19.9
518,519,FOP,Professor Adjunto,Em Exercício,Validada,55.64,54.57,0.0,0.0,1.07
519,520,POLI,Professor Adjunto,Em Exercício,Validada,88.43,24.88,20.03,3.41,40.11
520,521,Arcoverde,Professor Adjunto,Em Exercício,Validada,80.65,39.59,30.3,8.32,2.44
521,522,ESEF,Professor Associado,Em Exercício,Validada,288.44,130.24,104.28,5.42,48.5
522,523,FOP,Professor Associado,Em Exercício,Validada,226.44,94.06,81.68,3.67,47.03
523,524,FCAP,Professor Auxiliar,Em Exercício,Validada,64.86,54.0,0.0,0.0,10.86
524,525,Serra Talhada,Professor Assistente,Em Exercício,Validada,227.1,44.91,33.06,41.88,107.25
525,526,Petrolina,Professor Adjunto,Em Exercício,Validada,218.17,78.0,47.34,42.5,50.33
526,527,FCAP,Professor Adjunto,Em Exercício,Validada,149.9,68.66,51.6,18.48,11.16
527,528,FOP,Professor Associado,Em Exercício,Validada,163.04,75.1,33.03,39.24,15.67
528,529,Petrolina,Professor Adjunto,Afastamento Parcial (6 meses),Validada,130.995,33.57,5.56,2.18,46.02
