Docente,Cargo,Nota_RAD,Unidade,Ano
6834b4055bbcdaf564356aa418769934d45d3dab85f27a73946fcb1113089779,Professor Adjunto,147.44,Garanhuns,2017
2107ee6ded9cf594feabee22f15d3a3527ebd2945a24a279560106e37499220d,Professor Adjunto,225.85,Mata Norte,2017
c12f3b02c3250c4b7965338e9caa65a32ad88a76ab0037083826a54f25b1a52a,Professor Associado,243.37,ESEF,2017
cdc6dc22d0997ec9ca13b727aad92bf91ec62db02debf84303a68b4c72eee974,Professor Assistente,17.07,FENSG,2017
507e9ea42957eca280df861d8acc370919e88d03317aad8a873bf1dc38e6d301,Professor Associado,132.5,ICB,2017
dbc90964bb6ba4b0eb9e25baa8207e0484eacacdb0f03b1d5da3692d7d5507ae,Professor Assistente,208.03,POLI,2017
6474ceb2fc21a6dc8befa23bb08ddaad66ebee29e4f27b36ed4f12b54bcb982d,Professor Assistente,129.51,POLI,2017
449422f6e4be89cb6468f8cc3de6a2d1909bd5f4dd8865851152e2d63e3330bd,Professor Auxiliar,,ICB,2017
4873e01fca8cf7eb682f5d09dfe07820972ff89a7dfdcc1aa2fc4a04685adb6a,Professor Associado,143.37,Reitoria,2017
d2334a254b1b4ec29c6554ba25a8f9fb6830828d9fe47035bfe32385e8566463,Professor Assistente,56.26,Garanhuns,2017
33c980fd5429eeafd23441fcf51cec8d5cd88af7bfdeb23ca313263927490c0c,Professor Adjunto,149.84,FOP,2017
d38b65b59079ac146381f46ed77503eff359f93305478512366085eacae846e6,Professor Adjunto,109.96,FCAP,2017
a6e6684c7a8bc8f4d7b74a4a17ebed8eeab7474bf40db80cd3487bf88126e759,Professor Auxiliar,,Reitoria,2017
3a140653cf84d863c6440a1e321727222d287c4128babf18b914792e33f7084c,Professor Auxiliar,9.9,FCM,2017
0c1aaffd586b54c4f07cc4b3021427df0cda79ef32a9d738a70748247810b7d8,Professor Auxiliar,18.08,FENSG,2017
9a77d5e1cebc6d7b7452808fdadc35a64cfd4b2be403e3038e094e5359e26fe1,Professor Adjunto,211.12,Mata Norte,2017
b5966728f53a2d0b744fc912826f84988b05ed9ca34347f7dc4d7cd75217d66a,Professor Assistente,11.46,FENSG,2017
256dfce9eaf8f73cb76658db9b196fe9b96e99fb306f24cb1fd971ee9ec418d5,Professor Adjunto,176.07,POLI,2017
6a6702221c9ed1cd243eae0819dddb31ef5abdbcd9558b70c501fe8b72765a46,Professor Assistente,,FCM,2017
dbe8b95deac48d2e91c3ec3f3a50b4a2f43877fbb3802212934e017d36a8be89,Professor Auxiliar,,FCM,2017
788659e5563b7920e2ccac809e791c8fb440174813d0507f6d481e719b488982,Professor Assistente,,ICB,2017
b6951ba2bfbf342cbaa56060698ff19a9b56884eb0ce2fac80f6c734191535f0,Professor Auxiliar,80.47,Garanhuns,2017
b56f459e5ba56efa61c8a03ef61556cc0b850453724847c687ee238743d10f3e,Professor Adjunto,72.41,FCM,2017
286a23c5158716cc9b301a3964d7b62b0e241ced35919fc4901e68a5a1f36154,Professor Auxiliar,50.44,ESEF,2017
f5a1c86f49c03f2517b7518f527fd5a662558c922ff4372f1394915edb6c6ede,Professor Assistente,94.89,Mata Norte,2017
fc0d443aeb0187e6905eb9d2073e49ff7f06f3a62bbc1c6fe9e1f329a9e1580e,Professor Assistente,,FOP,2017
2fa89c22f0dc57b4866b2ae81c60c0225bf151388bfde8cbe5d3533c92320946,Professor Adjunto,68.27,FCM,2017
3078e98f1d7301e27210ffc96a36b72b4cfaa992335c2c40370f12a828a858ac,Professor Adjunto,137.86,Garanhuns,2017
bc4c54e3325704d82c561aee4afbaf1174efe072005fd3da57e54bbd57e488e2,Professor Associado,229.42,Reitoria,2017
55bcd88e8a8466c4166886f00d8d7d542fb16103f831bd362189f064166ac573,Professor Adjunto,,FCM,2017
777ab79fb13ca6861fc2adb04c295a39d44f174b098dbbb2047132877b2be984,Professor Adjunto,,Garanhuns,2017
347acb985667fe7901e34707250f038e86b6716b74cc6da5c0bf5414b4de1211,Professor Assistente,7.95,Caruaru,2017
6f2f0f25ddbc020f772eac64934abf727161e84b2af4119c27ff77ef51f51928,Professor Adjunto,,FCM,2017
ba3935a32ec974f09585d373c12ab99ec7415fc9049be4eaa6fe1e766e20f35e,Professor Adjunto,,POLI,2017
8a63bf5b8cb12567d686097ebdd64a9d7901360f80d4b96fb332539a282e3cd0,Professor Assistente,31.76,POLI,2017
7819f9a3bd4fa344428306d6cce8e61b648d6b04646f46f21c8f17afb8ec9f47,Professor Auxiliar,,ICB,2017
23262259fb49382dc13270bfdd680ec574fa5e8f94184f5b73f95d92c6a32e07,Professor Adjunto,,POLI,2017
4181f2288de14f1500fe6f40a3486a0c7e5a7b751903a833ecda6f47ffa8c4a4,Professor Associado,607.7,Mata Norte,2017
9f768ab2e7c5dc85e621048b412235229594066cd640ca35abaaadb22e1a9d19,Professor Assistente,,FCM,2017
8a17d9b05433db3379e53dd5e334029c3e8746babadce20ef0ef67375f7a635c,Professor Assistente,99.55,Petrolina,2017
4852b69bbe2040eadbdd47ec945923596fac6ad8299fa3a364efcc67ef442c6f,Professor Adjunto,43.17,FCM,2017
fbe38737300b15bcd0676efdde340ee9bfd1dc43bfa64fb130c046a75f374261,Professor Adjunto,136.4,CISAM,2017
64cff167511a41871494a405d3dcf06e1011c614f2214ffa0ee7f106c0308917,Professor Adjunto,129.76,FCAP,2017
3e8a1f8c7b7a0d4f70c17ad7729d74297c3a1f42eebc97cb0fb31f0c88edc62f,Professor Adjunto,91.85,Salgueiro,2017
96ebdfb607c8acc3d0fc9eac0cad624fd3ee39b5ad6720854718c68c8e24f57b,Professor Adjunto,57.55,ICB,2017
98de8ab14f28cfbb7b0425a3c057ad3afe7acf82d1994311ecce6c30a738b347,Professor Auxiliar,,Garanhuns,2017
0577cd89496dfb448f893a171293052fdcf8ac6a107faba3d135f50487e7564d,Professor Auxiliar,,FCAP,2017
daa94f0fafb33a3640dd4b5039086ead5dd393daa4115ec655580932c8c18a2e,Professor Adjunto,14.74,POLI,2017
2f3788d12673c8880e40bbdc68154bf9b9112a8d6820e6c1f3008a387c463560,Professor Adjunto,,ESEF,2017
847de907803491bade659c99ab4a08d5ff1d9f8a0f5d3d67087035b40a5a92a9,Professor Adjunto,129.66,Garanhuns,2017
0a715770f08bccb75b801e6b5b0d8324e188c1f6b6588e2edd6ffa15a9561ffd,Professor Adjunto,,FCM,2017
25894293996099c354251223062990176206657195a226ff7990e86ff388ebad,Professor Adjunto,,FCM,2017
11aeacfd61859f67dfd053b52191ab3ab348bce5af9bf2fb67fb53140473adf1,Professor Adjunto,25.7,FOP,2017
522be0d5f251e8c3dbdb9a97f06b81249239b2bf3588a1b0c2449ef06a3d116a,Professor Adjunto,,POLI,2017
a19ee226e378e0564b3c9f0d76214412e6d224ee70e2dbd41d49a9cbd3ec84d8,Professor Adjunto,,FCM,2017
d8e59baf97805d9c1f86e090bdacc48f8a7292e7f4a50f5e27c389da5c7206bb,Professor Assistente,,Petrolina,2017
3a6bfe1186c0756cb8b018e3ad47f4f97efa3da92fea0943e5924779a09241b6,Professor Adjunto,77.98,Garanhuns,2017
0da4aa130d93f2e1de7308f8845d86ebf85fd8278bd7890f0ab5330d30bf9a65,Professor Assistente,,HUOC,2017
82d697c9ac54c9ad0d56777ec51405023a5e300780b2d6a9fd160273a35a6d18,Professor Associado,86.7,FCM,2017
